,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
190,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
191,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
192,penyakit hepatitis A,Muntah,Kulit kekuningan,Urin berwarna gelap,Mual
193,penyakit hepatitis A,Nyeri sendi,Kulit kekuningan,Urin berwarna gelap,Mual
194,penyakit hepatitis A,Nyeri sendi,Muntah,Urin berwarna gelap,Mual
195,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Mual
196,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
197,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
198,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
199,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
200,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
201,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
202,Penyakit Hepatitis B,Lelah,Lesu,Kulit kekuningan,Urin berwarna gelap
203,Penyakit Hepatitis B,Gatal,Lesu,Kulit kekuningan,Urin berwarna gelap
204,Penyakit Hepatitis B,Gatal,Lelah,Kulit kekuningan,Urin berwarna gelap
205,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Urin berwarna gelap
206,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
207,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
208,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
209,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
210,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
211,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
212,Penyakit Hepatitis C,Kulit kekuningan,Mual,Hilang nafsu makan,Mata menguning
213,Penyakit Hepatitis C,Lelah,Mual,Hilang nafsu makan,Mata menguning
214,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Hilang nafsu makan,Mata menguning
215,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Mata menguning
216,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
217,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
218,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
219,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
220,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
221,Penyakit Hepatitis D.,Muntah,Lelah,Kulit kekuningan,Urin berwarna gelap
222,Penyakit Hepatitis D.,Nyeri sendi,Lelah,Kulit kekuningan,Urin berwarna gelap
223,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
224,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Urin berwarna gelap
225,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
226,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
227,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
228,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
229,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
230,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
231,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
232,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
233,Hepatitis E,Muntah,Lelah,Demam tinggi,Kulit kekuningan
234,Hepatitis E,Nyeri sendi,Lelah,Demam tinggi,Kulit kekuningan
235,Hepatitis E,Nyeri sendi,Muntah,Demam tinggi,Kulit kekuningan
236,Hepatitis E,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
237,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
238,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
239,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
240,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
241,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
242,Hepatitis alkoholik,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak,Perut kembung atau bengkak
243,Hepatitis alkoholik,Muntah,Sakit perut bagian bawah,Perut bengkak,Perut kembung atau bengkak
244,Hepatitis alkoholik,Muntah,Kulit kekuningan,Perut bengkak,Perut kembung atau bengkak
245,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut kembung atau bengkak
246,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
247,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
248,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
249,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
250,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
251,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
252,Tuberkulosis,Muntah,Lelah,Penurunan berat badan,Batuk
253,Tuberkulosis,Demam menggigil,Lelah,Penurunan berat badan,Batuk
254,Tuberkulosis,Demam menggigil,Muntah,Penurunan berat badan,Batuk
255,Tuberkulosis,Demam menggigil,Muntah,Lelah,Batuk
256,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
257,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
258,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
259,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
260,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
261,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
262,Flu biasa,Demam menggigil,Lelah,Batuk,Demam tinggi
263,Flu biasa,Bersin terus-menerus,Lelah,Batuk,Demam tinggi
264,Flu biasa,Bersin terus-menerus,Demam menggigil,Batuk,Demam tinggi
265,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Demam tinggi
266,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
267,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
268,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
269,Flu biasa,Bersin terus-menerus,Demam menggigil,Lelah,Batuk
270,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
271,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
272,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
273,Radang paru-paru,Lelah,Batuk,Demam tinggi,Sesak napas
274,Radang paru-paru,Demam menggigil,Batuk,Demam tinggi,Sesak napas
275,Radang paru-paru,Demam menggigil,Lelah,Demam tinggi,Sesak napas
276,Radang paru-paru,Demam menggigil,Lelah,Batuk,Sesak napas
277,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
278,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
279,Radang paru-paru,Demam menggigil,Lelah,Batuk,Demam tinggi
280,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
281,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
282,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
283,Wasir dimorfik (ambeien),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah,Iritasi pada anus
284,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri di sekitar anus,Tinja berdarah,Iritasi pada anus
285,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Tinja berdarah,Iritasi pada anus
286,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Iritasi pada anus
287,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
288,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
289,Wasir dimorfik (ambeien),Susah buang air besar (sembelit),Nyeri saat buang air besar,Nyeri di sekitar anus,Tinja berdarah
290,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
291,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
292,Serangan jantung,Sesak napas,Berkeringat,Nyeri dada,kepanikan
293,Serangan jantung,Muntah,Berkeringat,Nyeri dada,kepanikan
294,Serangan jantung,Muntah,Sesak napas,Nyeri dada,Pusing
295,Serangan jantung,Muntah,Sesak napas,Berkeringat,Pusing
296,Serangan jantung,Muntah,Sesak napas,Berkeringat,Nyeri dada
297,Serangan jantung,Sesak napas,Berkeringat,Nyeri dada,kepanikan
298,Serangan jantung,Muntah,Berkeringat,Nyeri dada,Lelah
299,Serangan jantung,Muntah,Sesak napas,Nyeri dada,Pusing
300,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
301,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
302,Pembuluh mekar,Kram,Memar,Obesitas (kelebihan berat badan),Kaki bengkak
303,Pembuluh mekar,Lelah,Memar,Obesitas (kelebihan berat badan),Kaki bengkak
304,Pembuluh mekar,Lelah,Kram,Obesitas (kelebihan berat badan),Kaki bengkak
305,Pembuluh mekar,Lelah,Kram,Memar,Kaki bengkak
306,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
307,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
308,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
309,Pembuluh mekar,Lelah,Kram,Memar,Obesitas (kelebihan berat badan)
310,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
311,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
312,Hipotiroidisme,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati,Lesu
313,Hipotiroidisme,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati,Lesu
314,Hipotiroidisme,Lelah,Tangan dan kaki terasa dingin,Perubahan suasana hati,Lesu
315,Hipotiroidisme,Lelah,Kenaikan berat badan,Perubahan suasana hati,Lesu
316,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Lesu
317,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
318,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
319,Hipotiroidisme,Lelah,Kenaikan berat badan,Tangan dan kaki terasa dingin,Perubahan suasana hati
320,Hipertiroidisme,Lelah,Perubahan suasana hati,Penurunan berat badan,Gelisah
